机器学习,MindSpore/mindspore,1
ai,drinkjava2/人工生命,1
机器学习,PaddlePaddle/Paddle,1
ai,dromara/easyAi,1
机器学习,scruel/Notes-ML-AndrewNg,1
ai,RockYang/geekai,1
机器学习,MindSpore/docs,1
ai,Calvin/AIAS,1
机器学习,MindSpore/graphengine,1
ai,MindSpore/mindinsight,1
机器学习,inspur-inna/inna1.0,1
ai,之江天枢/Dubhe,1
机器学习,MindSpore/community,1
ai,百度开源/Senta,1
机器学习,MindSpore/course,1
ai,wzpan/wukong-robot,1
机器学习,MindSpore/ms-operator,1
ai,MindSpore/mindarmour,1
机器学习,iangellove/Omega-AI,1
ai,MindSpore/mindscience,1
机器学习,Gitee 极速下载/tensorflow,1
ai,馆主阿牛/ChatGPT-website,1
机器学习,飞行器智能感知与控制/machinelearning_notebook,1
ai,Ascend/samples,1
机器学习,PaddlePaddle/PaddleHub,1
ai,MindSpore/mindformers,1
机器学习,Yener/Jiagu,1
ai,xszyou/fay,1
机器学习,Ascend/pytorch,1
ai,MindSpore/serving,1
机器学习,MindSpore/mindquantum,2
机器学习,第四范式/OpenMLDB,2
机器学习,MindSpore/akg,2
机器学习,lee/ml4ai,2
机器学习,Daochen Zha/rlcard,2
机器学习,MindSpore/zidongtaichu,2
机器学习,风酒/YOLO_v3_tensorflow,2
ai,开源中国/awesome-llm,2
机器学习,cmjia/MachineLearning_,2
ai,MindSpore/hub,2
机器学习,时间坐标/paradox,2
ai,PaddlePaddle/PaddleDetection,2
机器学习,PaddlePaddle/Paddle-Lite,2
ai,feiwang/Awesome-TensorFlow-Chinese,2
机器学习,Fan WenJie/LeNet-5,2
ai,Generalized_Aviation/GAAS,2
机器学习,PaddlePaddle/PARL,2
ai,ZZU/yolo-onnx-java,2
机器学习,qieangel2013/phpml,2
ai,malaohu/wechatbot,2
机器学习,Ascend/tensorflow,2
ai,科艺创想/自美人工智能系统,2
机器学习,Gitee 极速下载/tencent-angel,2
ai,ideamark/breadbot,2
ai,shao1chuan/pythonbook,2
ai,简简aw/NewBingGoGo,2
ai,iqiar/QiarAI,2
ai,小帅丶/xai,2
ai,小帅丶/taip,2
ai,OpenKG/DeepKE,2
ai,cungudafa/fatigue_detecting,3
ai,Qiansou/face-java-sdk,3
ai,Timthony/self_drive,3
ai,PaddlePaddle/PaddleClas,3
ai,阿阳热爱前端/ChatGPT-Desktop,3
ai,haok2/yiwa,3
ai,panday/chat-master,3
ai,withsalt/智能语音控制中心,3
ai,网易有道/QAnything,3
ai,潍坊雷鸣云网络科技有限公司/chatbot,3
ai,Daochen Zha/DouZero,3
ai,CloudOrc/SolidUI,3
ai,hoppinzq/chatgpt-java,3
ai,思通数科 StoneDT/AI多模态能力平台,3
ai,monkey_cici/yolov5,3
机器学习,TensorLayer/tensorlayer,3
机器学习,奇虎360/XLearning,3
机器学习,Daochen Zha/tods,3
机器学习,编程语言算法集/d2l-zh,3
机器学习,openvinotoolkit-prc/OpenVINO,3
机器学习,Gitee 极速下载/easyml,3
机器学习,PaddlePaddle/FastDeploy,3
机器学习,MegEngine/MegEngine,3
机器学习,ZzqiZQute/BPNNDemoQt,3
机器学习,Huoyo/ndraw,3
机器学习,Jon./hssvm,3
机器学习,华为移动服务/hms-ml-demo,3
机器学习,科大讯飞/iflearner,3
机器学习,Gitee 极速下载/TensorFlow.js,3
机器学习,BaseBit.ai/XFL,3
机器学习,PaddlePaddle/Paddle.js,4
机器学习,算法美食屋/eat_tensorflow2_in_30_days,4
机器学习,fushenshen/KuiperInferGitee,4
机器学习,PaddlePaddle/PGL,4
机器学习,handong/tensorflow_deploy,4
机器学习,OpenMMLab/mmdeploy,4
机器学习,韩路彪/汉智,4
机器学习,Gitee 极速下载/OneFlow,4
机器学习,Ascend/parser,4
机器学习,PaddlePaddle/PaddleFL,4
机器学习,Gitee 极速下载/FATE,4
机器学习,Gitee 极速下载/deeplearning4j,4
机器学习,Gitee 极速下载/Tinn,4
机器学习,Apache/OpenNLP,4
机器学习,jajupmochi/graphkit-learn,4
ai,PaddlePaddle/PaddleGAN,4
ai,ApulisPlatform/Apulis AI Platform,4
ai,Dify.AI/dify,4
ai,cookeem/chatgpt-stream,4
ai,腾讯开源/ncnn,4
ai,店滴云物联网开源框架/店滴AI-人脸数据采集，识别，维护，心率算法,4
ai,肆十二/vegetables_tf2.3,4
ai,PaddlePaddle/PaddleSeg,4
ai,FIT2CLOUD飞致云/MaxKB,4
ai,小帅丶/人工智能,4
ai,MANYKIT/PHOENIXEngine,4
ai,未来科技集团/Jarvis_QT_NEW,4
ai,小浩/中药图片拍照识别系统-APP端,4
ai,cookeem/chatgpt-service,4
ai,CodeGeeX/CodeGeeX,4
机器学习,Gitee 极速下载/tribuo,5
机器学习,Gitee 极速下载/deeplearn-js,5
机器学习,MindSpore/RingMo-Framework,5
机器学习,范淼/Python机器学习及实践：从零开始通往Kaggle竞赛之路（2022年度版）,5
机器学习,PaddlePaddle/X2Paddle,5
机器学习,秦小航/DeepLearning,5
ai,PaddlePaddle/PaddleX,5
机器学习,Gitee 极速下载/ElasticDL,5
ai,OSC源创会/AI学习,5
机器学习,KareEnges/pytorch CNN识别奥特曼,5
ai,cungudafa/keras-yolo3,5
机器学习,WeBank/eggroll,5
ai,icybee/icyChessZero,5
机器学习,NVIDIA_Developer_Community/DIGITS,5
ai,占书生/chatai-vue,5
机器学习,之江天枢/OneFlow,5
ai,WeBank/FATE,5
机器学习,zmh-program/Deeptrain,5
ai,夜半饿得慌/beauty,5
机器学习,Apache/tvm,5
机器学习,Hans/infers,5
ai,dreamsfly/ WeaveNet,5
机器学习,马登军/CNTK,5
ai,PaddlePaddle/models,5
ai,Chatopera/Synonyms,5
ai,feiwang/Awesome-Chatbot,5
ai,大腹太卷/Lane_Detection,5
ai,1595901624/Gpt聚合版,5
ai,ModelArts/ModelArts-Lab,5
ai,CHB/profile-tags,5
机器学习,TensorLayer/dcgan,6
机器学习,京东零售/Galileo,6
机器学习,PaddlePaddle/Paddle2ONNX,6
机器学习,OpenDILab开源决策智能平台/DI-orchestrator,6
机器学习,WoodHeart/Plane_RL,6
机器学习,PaddlePaddle/edl,6
机器学习,Gitee 极速下载/Horovod,6
机器学习,Gitee 极速下载/GraphPipe,6
机器学习,TensorLayer/RLzoo,6
机器学习,PaddlePaddle/AutoDL,6
机器学习,高艳鹏/GPT2-chitchat,6
机器学习,Gitee 极速下载/openai-gym,6
机器学习,FengGo/I-ReaxFF,6
机器学习,科大讯飞/iflearner-flow,6
机器学习,Gitee 极速下载/ai_choreographer,6
ai,star/calculator,6
ai,OpenDocCN/ailearning,6
ai,livingbody/AutoCutout,6
ai,乔永刚/AI创作系统cahtgpt聊天系统小程序PC端,6
ai,兰博文/GPT_Assistant_Android,6
ai,国家一级失眠/attendanceFaceDemo,6
ai,OpenHarmony/ai_engine,6
ai,AvenirTech 未来科技/Honinbo,6
ai,zghgchao/Netflix-Recommender-with-Spark,6
ai,雨花石/FastGPT,6
ai,andyham/RSPapers,6
ai,PaddlePaddle/VisualDL,6
ai,Gtr/chatgpt-java,6
ai,PaddlePaddle/PaddleRec,6
ai,adai.design/homemaster.v1,6
机器学习,dreamsfly/CNNSharp,7
机器学习,泰斯特/Amazing-AI,7
机器学习,FlipTurn/bustag,7
机器学习,Apache/Mahout,7
机器学习,wwy/Machine_Learning_research_on_simple_target_recognition_and_intention_analysis,7
机器学习,Gitee 极速下载/MMLSpark,7
机器学习,Gitee 极速下载/LineFlow,7
机器学习,OpenMMLab/mmrazor,7
机器学习,idrl/idrlnet,7
机器学习,yuanbo-peng/Neural-Networks,7
机器学习,Gitee 极速下载/rasa,7
ai,Ascend/mindxsdk-referenceapps,7
机器学习,高艳鹏/dgl,7
ai,Gitee 极速下载/openpilot,7
机器学习,DeepPSP/torch_ecg,7
ai,TensorLayer/hyperpose,7
机器学习,Gitee 极速下载/linfa,7
ai,灵易/MLBot,7
机器学习,mumulin/libalgdeploy-hi3559a,7
ai,Bd999/Recognize.js,7
ai,陈轩大魔王/Neuroevolution_T-rex,7
ai,开源中国/LLM Map,7
ai,邓草/AI智能识物（微信小程序）,7
ai,Chatopera/efaqa-corpus-zh,7
ai,imi 开发组/imi-ai,7
ai,夜半饿得慌/KnifeREC,7
ai,包建强/FastOCRLabel,7
ai,DeepSpark/DeepSparkHub,7
ai,PaddlePaddle/ERNIE,7
ai,Ascend/att,7
机器学习,AliyunContainerService/ai-starter,8
机器学习,toniz/deeplab-on-ios,8
机器学习,Gitee 极速下载/Coach,8
机器学习,Gitee 极速下载/lightnet,8
机器学习,seanXYZ/SegDecNet,8
机器学习,mirrors_Qihoo360/tensornet,8
机器学习,mumulin/algmodelconvert,8
机器学习,Hank/build_a_neural_network_from_scratch,8
机器学习,KumaTea/pytorch-aarch64,8
机器学习,WenkeHuang/ML-Quantamental,8
机器学习,Gitee 极速下载/ElasticRec,8
机器学习,盗理者/machinelearningapidemo,8
机器学习,PaddlePaddle/PaddleHelix,8
机器学习,Gitee 极速下载/PostgresML,8
机器学习,TorchEI/TorchEI,8
ai,Angus/chat-plus,8
ai,DGW/spiderTmallTradeInfo,8
ai,Gitee 极速下载/Automagica,8
ai,Gitee 极速下载/mediapipe,8
ai,wuzhihao7788/yolodet-pytorch,8
ai,OAL/Tengine,8
ai,OpenDILab开源决策智能平台/DI-engine,8
ai,Ascend/ ait,8
ai,源宝网络/baoaiback,8
ai,feiwang/TensorFlow-Bitcoin-Robot,8
ai,dog-qiuqiu/MobileNetv2-YOLOV3,8
ai,神经猫/EasyPR-native,8
ai,modelbox/modelbox,8
ai,顾真牛/ai00_rwkv_server,8
ai,康恒/ctpn,8
机器学习,Jide-Qian/mxnet,9
机器学习,Gitee 极速下载/deeplearning4j-examples,9
机器学习,Gitee 极速下载/emll,9
机器学习,jeusgao/jobot_factory_simple_nlp,9
机器学习,新无止竞/MNN,9
机器学习,gexing/pytorch实现bert做seq2seq任务,9
机器学习,soldatJiang/robot-grasp-detection,9
机器学习,GPLme/公司渠道评估模型,9
机器学习,OSS Compass 开源指南针/compass-web,9
机器学习,MindSpore Lab/mindrl,9
机器学习,科学大数据开源社区/pDeep,9
机器学习,Apache/Hivemall,9
机器学习,PaddlePaddle/Fleet,9
机器学习,hazdzz/GCN,9
机器学习,HJ Research Group/torchplus,9
ai,Hootin/hugai-chatgpt,9
ai,科大讯飞/aiges,9
ai,Cambricon/pytorch_modelzoo,9
ai,北京智云视图科技有限公司/HyperLabelImg,9
ai,RT-Thread-Mirror/nnom,9
ai,万改称才/QQRobot,9
ai,kerlomz/captcha_platform,9
ai,小帅丶/x-ai,9
ai,Gitee 极速下载/breadAI,9
ai,PaddlePaddle/PaddleSlim,9
ai,科大讯飞/MiniRBT,9
ai,Baihai IDP/IDP,9
ai,源宝网络/baoaifront,9
ai,PaddlePaddle/PGL,9
ai,CANN/acl,9
机器学习,Berry/ACSCP_cGAN,10
机器学习,Berry/mscnn,10
机器学习,spr_prg/TensorFlow-Examples,10
机器学习,OAL/AutoKernel,10
机器学习,Tencent/Forward,10
机器学习,awesome-lib/awesome-machine-learning,10
ai,RLMaster陈常鸿/强化学习,10
机器学习,新无止竞/darknet,10
ai,PaddlePaddle/Serving,10
机器学习,Microsoft/TensorFlow-DirectML,10
ai,PaddlePaddle/ElasticCTR,10
机器学习,openvinotoolkit-prc/nncf_pytorch,10
ai,shopping/yolo_v5_nnie,10
机器学习,openvinotoolkit-prc/nncf,10
ai,supermy/dmn-rest,10
机器学习,PaddlePaddle/hapi,10
ai,lovaster/text_detection,10
机器学习,AX0424/MegEngine,10
ai,cs-lazy-tools/ChatGPT-On-CS,10
机器学习,TensorLayer/cyclegan,10
ai,Yesterday/MindSPONGE,10
机器学习,越努力越幸运/cnn-explainer,10
ai,张尉东/GraphMapReduce,10
机器学习,Gitee 极速下载/lingvo,10
ai,mirrors_microsoft/Bringing-Old-Photos-Back-to-Life,10
ai,百度开源/familia,10
ai,头上有煎饺/Defect-Detection-with-tensorflow,10
ai,祝威廉/byzer-llm,10
ai,南寻/NewPy,10
ai,Gitee 极速下载/ollama,10
机器学习,TensorLayer/srgan,11
机器学习,Gitee 极速下载/TensorLayer,11
机器学习,openvinotoolkit-prc/MMAction,11
机器学习,jlxing/caffe,11
机器学习,openvinotoolkit-prc/deep-object-reid,11
机器学习,Leon/Pytorch2TensorRT,11
ai,Gitee 极速下载/easyrec,11
机器学习,Gitee 极速下载/sk-dist,11
ai,玄道公子/digital_recognition_with_neuron_network,11
机器学习,VIT/基于深度学习的商品识别系统的设计与实现,11
ai,枫言风语/coolwrite,11
机器学习,Gitee 极速下载/tabml,11
ai,linzhong/BigGAN,11
机器学习,topnetfish/Production-Level-Deep-Learning,11
ai,Gitee 极速下载/txtai,11
机器学习,techrc/senkuu,11
ai,PaddlePaddle/PaddleVideo,11
